price;city;neighborhood;bedrooms;garage
189000.0;araucária;iguaçu;2;1
310000.0;araucária;centro;2;1
194000.0;curitiba;santa cândida;2;1
3850000.0;curitiba;ecoville;4;4
2712000.0;curitiba;ecoville;3;4
2980000.0;curitiba;ecoville;3;4
1640000.0;curitiba;champagnat;3;3
3933000.0;curitiba;ecoville;4;4
175000.0;são josé dos pinhais;boneca do iguacu;2;1
3900000.0;curitiba;batel;4;4
225000.0;curitiba;alto boqueirão;2;2
1050000.0;curitiba;batel;2;1
299000.0;araucária;centro;2;1
1526112.0;curitiba;cabral;3;2
1037442.0;curitiba;batel;1;1
1150000.0;curitiba;batel;4;2
520000.0;curitiba;alto da rua xv;2;1
950000.0;curitiba;batel;4;2
1590000.0;curitiba;juvevê;3;3
1200000.0;curitiba;juvevê;3;2
401000.0;curitiba;centro;2;1
9048629.0;curitiba;cabral;4;4
230000.0;curitiba;uberaba;2;2
162000.0;curitiba;cidade industrial de curitiba;2;1
135000.0;curitiba;campo comprido;2;1
220000.0;são josé dos pinhais;jardim monte líbano;2;1
2500000.0;curitiba;batel;4;4
1280000.0;curitiba;cabral;4;3
1150000.0;curitiba;ahú;3;2
150000.0;curitiba;sítio cercado;2;
1450000.0;curitiba;ecoville;3;2
150000.0;araucária;centro;3;0
310000.0;araucária;centro;2;1
580000.0;curitiba;juvevê;2;1
300000.0;araucária;vila nova;2;2
830000.0;curitiba;batel;3;2
630000.0;curitiba;portão;3;1
1500000.0;curitiba;bigorrilho;4;3
580000.0;curitiba;mercês;3;1
320000.0;curitiba;guaíra;3;1
160000.0;araucária;centro;3;0
250000.0;araucária;centro;2;0
275000.0;curitiba;centro;1;1
656910.0;curitiba;cabral;2;2
450000.0;curitiba;capão raso;3;1
112000.0;araucária;boqueirão;2;1
2800000.0;curitiba;batel;3;4
1790000.0;curitiba;bigorrilho;3;3
150000.0;araucária;iguaçu;2;1
1300000.0;curitiba;centro;5;2
270000.0;curitiba;atuba;2;2
3680000.0;curitiba;ecoville;4;4
1500000.0;curitiba;centro;4;2
349000.0;curitiba;alto da glória;3;1
198000.0;curitiba;tingui;2;1
175000.0;curitiba;bairro alto;3;1
210000.0;araucária;cachoeira;2;1
155000.0;araucária;centro;3;1
140000.0;araucária;capela velha;2;0
4805300.0;curitiba;batel;4;5
380000.0;curitiba;juvevê;2;1
299000.0;curitiba;centro;3;
470000.0;curitiba;batel;2;1
160000.0;curitiba;centro;1;0
155000.0;são josé dos pinhais;cidade jardim;2;1
125000.0;araucária;tindiquera;2;0
1358746.0;curitiba;seminário;3;0
2700000.0;curitiba;cabral;3;3
994000.0;curitiba;juvevê;2;2
1009222.0;curitiba;ecoville;3;2
550000.0;curitiba;centro;3;2
2690000.0;curitiba;água verde;4;3
215000.0;curitiba;xaxim;2;1
848000.0;curitiba;campo comprido;3;2
185190.0;curitiba;santa cândida;3;1
160900.0;colombo;roça grande;3;1
430000.0;curitiba;cristo rei;3;1
4955600.0;curitiba;batel;3;5
206600.0;curitiba;santa cândida;3;1
1790000.0;curitiba;batel;4;4
1209267.0;curitiba;batel;0;2
1625711.0;curitiba;batel;0;2
500000.0;curitiba;champagnat;3;0
514000.0;curitiba;centro;2;1
336000.0;curitiba;capão raso;3;1
2700000.0;curitiba;batel;4;3
1680000.0;curitiba;juvevê;3;3
917751.0;curitiba;centro cívico;3;2
957328.0;curitiba;centro cívico;3;2
910397.0;curitiba;centro cívico;3;2
580000.0;curitiba;alto da rua xv;3;2
760000.0;curitiba;centro;2;2
839760.0;curitiba;ecoville;3;2
2498000.0;curitiba;champagnat;4;3
3980000.0;curitiba;cabral;4;4
3700000.0;curitiba;ahú;4;4
485000.0;curitiba;alto da rua xv;3;2
0.0;curitiba;batel;4;3
0.0;curitiba;batel;4;3
140000.0;curitiba;cidade industrial de curitiba;2;1
389000.0;curitiba;xaxim;3;1
529100.0;curitiba;alto da glória;2;1
667600.0;curitiba;mercês;2;2
2550000.0;curitiba;bigorrilho;3;3
162000.0;curitiba;fazendinha;2;1
163000.0;araucária;sabiá;2;1
6774910.0;curitiba;cabral;4;4
6030488.0;curitiba;cabral;4;4
190000.0;são josé dos pinhais;santos dumont;2;1
1580000.0;curitiba;água verde;4;2
1600000.0;curitiba;batel;3;3
150000.0;curitiba;cidade industrial de curitiba;2;1
3498000.0;curitiba;ecoville;4;5
358500.0;curitiba;portão;3;1
349100.0;curitiba;novo mundo;3;2
350000.0;curitiba;água verde;2;1
629100.0;curitiba;batel;3;1
964189.0;curitiba;água verde;2;2
1000527.0;curitiba;água verde;2;2
432500.0;curitiba;cristo rei;2;2
187500.0;curitiba;fazendinha;2;1
588200.0;curitiba;bigorrilho;2;2
600000.0;curitiba;cabral;4;2
160000.0;curitiba;bairro alto;3;1
330000.0;curitiba;atuba;3;2
210000.0;curitiba;santa cândida;2;1
394900.0;curitiba;capão raso;2;1
390000.0;curitiba;são francisco;3;3
335000.0;araucária;centro;3;1
145000.0;curitiba;sítio cercado;2;1
1444300.0;curitiba;mercês;3;2
1221359.0;curitiba;bigorrilho;2;2
1711283.0;curitiba;bigorrilho;3;3
8348920.0;curitiba;ecoville;4;5
700000.0;curitiba;bigorrilho;3;2
3154266.16;curitiba;cabral;4;4
8066410.89;curitiba;barigui;4;5
774300.0;curitiba;mercês;2;2
1290500.0;curitiba;mercês;3;2
1210700.0;curitiba;mercês;3;2
1118700.0;curitiba;mercês;2;2
858500.0;curitiba;mercês;2;2
907600.0;curitiba;mercês;2;1
650000.0;curitiba;água verde;3;2
1455000.0;curitiba;cabral;3;2
5119900.0;curitiba;batel;3;4
410000.0;curitiba;água verde;3;1
265000.0;curitiba;vila izabel;3;1
620000.0;curitiba;seminário;3;2
1359500.0;curitiba;água verde;3;2
669000.0;curitiba;batel;3;1
215000.0;curitiba;centro;1;
107000.0;araucária;iguaçu;2;1
1121000.0;curitiba;batel;3;2
220000.0;curitiba;pilarzinho;2;1
995000.0;curitiba;cabral;3;2
180000.0;são josé dos pinhais;parque da fonte;3;1
180000.0;são josé dos pinhais;parque da fonte;3;1
180000.0;são josé dos pinhais;parque da fonte;3;1
878288.0;curitiba;bacacheri;3;2
897279.0;curitiba;bacacheri;3;2
320000.0;são josé dos pinhais;cidade jardim;3;3
200000.0;curitiba;cristo rei;1;
200000.0;são josé dos pinhais;boneca do iguacu;2;1
260000.0;colombo;atuba;3;2
988050.0;curitiba;ecoville;3;2
1122142.5;curitiba;mossunguê;3;2
595000.0;curitiba;vila izabel;3;2
1980000.0;curitiba;alto da rua xv;3;3
309000.0;curitiba;capão raso;3;1
715000.0;curitiba;vila izabel;3;2
533015.0;curitiba;vila izabel;2;1
250000.0;curitiba;santa quitéria;3;1
715883.0;curitiba;vila izabel;2;2
603887.0;curitiba;vila izabel;2;2
1600000.0;curitiba;ecoville;3;4
890000.0;curitiba;vila izabel;3;2
530000.0;curitiba;bigorrilho;3;1
230000.0;curitiba;jardim botânico;2;1
9000000.0;curitiba;ecoville;4;5
950000.0;curitiba;batel;4;3
350000.0;curitiba;centro;2;1
