price	city	neighborhood	bedrooms	garage
R$ 189.000,00	araucária	iguaçu	2	1
R$ 310.000,00	araucária	centro	2	1
R$ 194.000,00	curitiba	santa cândida	2	1
R$ 3.850.000,00	curitiba	ecoville	4	4
R$ 2.712.000,00	curitiba	ecoville	3	4
R$ 2.980.000,00	curitiba	ecoville	3	4
R$ 1.640.000,00	curitiba	champagnat	3	3
R$ 3.933.000,00	curitiba	ecoville	4	4
R$ 175.000,00	são josé dos pinhais	boneca do iguacu	2	1
R$ 3.900.000,00	curitiba	batel	4	4
R$ 225.000,00	curitiba	alto boqueirão	2	2
R$ 1.050.000,00	curitiba	batel	2	1
R$ 299.000,00	araucária	centro	2	1
R$ 1.526.112,00	curitiba	cabral	3	2
R$ 1.037.442,00	curitiba	batel	1	1
R$ 1.150.000,00	curitiba	batel	4	2
R$ 520.000,00	curitiba	alto da rua xv	2	1
R$ 950.000,00	curitiba	batel	4	2
R$ 1.590.000,00	curitiba	juvevê	3	3
R$ 1.200.000,00	curitiba	juvevê	3	2
R$ 401.000,00	curitiba	centro	2	1
R$ 9.048.629,00	curitiba	cabral	4	4
R$ 230.000,00	curitiba	uberaba	2	2
R$ 162.000,00	curitiba	cidade industrial de curitiba	2	1
R$ 135.000,00	curitiba	campo comprido	2	1
R$ 220.000,00	são josé dos pinhais	jardim monte líbano	2	1
R$ 2.500.000,00	curitiba	batel	4	4
R$ 1.280.000,00	curitiba	cabral	4	3
R$ 1.150.000,00	curitiba	ahú	3	2
R$ 150.000,00	curitiba	sítio cercado	2	
R$ 1.450.000,00	curitiba	ecoville	3	2
R$ 150.000,00	araucária	centro	3	0
R$ 310.000,00	araucária	centro	2	1
R$ 580.000,00	curitiba	juvevê	2	1
R$ 300.000,00	araucária	vila nova	2	2
R$ 830.000,00	curitiba	batel	3	2
R$ 630.000,00	curitiba	portão	3	1
R$ 1.500.000,00	curitiba	bigorrilho	4	3
R$ 580.000,00	curitiba	mercês	3	1
R$ 320.000,00	curitiba	guaíra	3	1
R$ 160.000,00	araucária	centro	3	0
R$ 250.000,00	araucária	centro	2	0
R$ 275.000,00	curitiba	centro	1	1
R$ 656.910,00	curitiba	cabral	2	2
R$ 450.000,00	curitiba	capão raso	3	1
R$ 112.000,00	araucária	boqueirão	2	1
R$ 2.800.000,00	curitiba	batel	3	4
R$ 1.790.000,00	curitiba	bigorrilho	3	3
R$ 150.000,00	araucária	iguaçu	2	1
R$ 1.300.000,00	curitiba	centro	5	2
R$ 270.000,00	curitiba	atuba	2	2
R$ 3.680.000,00	curitiba	ecoville	4	4
R$ 1.500.000,00	curitiba	centro	4	2
R$ 349.000,00	curitiba	alto da glória	3	1
R$ 198.000,00	curitiba	tingui	2	1
R$ 175.000,00	curitiba	bairro alto	3	1
R$ 210.000,00	araucária	cachoeira	2	1
R$ 155.000,00	araucária	centro	3	1
R$ 140.000,00	araucária	capela velha	2	0
R$ 4.805.300,00	curitiba	batel	4	5
R$ 380.000,00	curitiba	juvevê	2	1
R$ 299.000,00	curitiba	centro	3	
R$ 470.000,00	curitiba	batel	2	1
R$ 160.000,00	curitiba	centro	1	0
R$ 155.000,00	são josé dos pinhais	cidade jardim	2	1
R$ 125.000,00	araucária	tindiquera	2	0
R$ 1.358.746,00	curitiba	seminário	3	0
R$ 2.700.000,00	curitiba	cabral	3	3
R$ 994.000,00	curitiba	juvevê	2	2
R$ 1.009.222,00	curitiba	ecoville	3	2
R$ 550.000,00	curitiba	centro	3	2
